id,jaccard_1,jaccard_10,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,max_jaccard,mean_jaccard,similar_1,similar_10,similar_2,similar_3,similar_4,similar_5,similar_6,similar_7,similar_8,similar_9
21f1003657,0.203125,0.1484375,0.1796875,0.1640625,0.1640625,0.1640625,0.15625,0.15625,0.1484375,0.1484375,0.203125,0.16328125,23f2002904,23f1001245,23f2000934,22f3000852,23f3002347,21f1001141,22f3000983,23f2004671,21f3001800,23f1000996
21f1003777,0.15625,0.1171875,0.15625,0.140625,0.140625,0.1328125,0.125,0.125,0.1171875,0.1171875,0.15625,0.1328125,22f3000966,23f1000966,22f3001566,22f3001119,21f2000168,21f3002488,23f3002560,22f1001626,22f3001652,23f1001585
21f1003945,0.0546875,0.046875,0.0546875,0.0546875,0.0546875,0.0546875,0.0546875,0.0546875,0.046875,0.046875,0.0546875,0.05234375,23f3001345,23f1001758,22f2000517,22f3001652,23f2003894,23f1003155,23f2001475,22f2000945,22f2001661,22f1000693
21f1004163,1.0,0.609375,1.0,1.0,1.0,1.0,1.0,0.984375,0.984375,0.9765625,1.0,0.95546875,23f2000819,23f1001173,23f2004328,23f1001909,22f3003253,22f3002769,21f1002449,21f3002711,23f1002044,22f3001412
21f1004246,0.171875,0.0703125,0.1015625,0.09375,0.09375,0.0859375,0.0703125,0.0703125,0.0703125,0.0703125,0.171875,0.08984375,23f2002364,21f2000753,22f3001119,23f1000996,23f2003700,22f3000983,24ds2000136,24f1001336,21f1004929,23f2002904
21f1004349,0.1875,0.15625,0.1796875,0.171875,0.171875,0.171875,0.171875,0.171875,0.1640625,0.1640625,0.1875,0.17109375,23f1000966,22f2000481,23f2000934,22f2000169,23f1000996,22f3002336,22f3000983,23f2003700,22ds2000111,22f3001953
21f1004719,0.140625,0.09375,0.1328125,0.1171875,0.1171875,0.1015625,0.1015625,0.1015625,0.1015625,0.09375,0.140625,0.11015625,23f2005504,23f2004527,23f2003700,23f2004165,21f1004929,23f2000934,23f2004625,22f3001652,22f1000522,23f2002364
21f1004811,0.234375,0.1640625,0.1875,0.1796875,0.1640625,0.1640625,0.1640625,0.1640625,0.1640625,0.1640625,0.234375,0.175,23f2002364,23f2003894,22f3000087,23f3003763,23f3001345,23f2001033,22f3000364,23f2001366,23f3003749,22f3002336
21f1004929,0.328125,,0.2890625,0.109375,0.0703125,0.0625,,,,,0.328125,0.171875,22f3002354,,23f2003700,23f2004527,24ds1000075,23f1001713,,,,
21f1005006,0.1015625,0.078125,0.0859375,0.0859375,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.1015625,0.08203125,23f1001897,23f2002904,23f2004165,23f3004354,22f2000169,21f3003136,23f3003749,22f3002796,22f2000517,22f3001652
21f1005280,0.109375,0.09375,0.109375,0.1015625,0.1015625,0.1015625,0.1015625,0.09375,0.09375,0.09375,0.109375,0.1,22f2000517,23f1002480,22f3000703,23f3001345,23f2003894,22f1001602,22f2000445,21f1006373,23f2002904,23f2005597
21f1005443,0.2109375,0.09375,0.109375,0.109375,0.1015625,0.1015625,0.1015625,0.09375,0.09375,0.09375,0.2109375,0.1109375,24ds1000043,23ds3000059,23f2005375,23f2004904,22f2000169,23f1001545,22f3002614,23f2001366,23f3003749,21f1001238
21f1005773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22f1001834,23f1001901,22f2001347,23f3001129,22f3000263,22f3001192,23f1002688,23f1003100,21f2000717,22f2000240
21f1006031,0.203125,0.171875,0.1953125,0.1875,0.1875,0.1875,0.1796875,0.1796875,0.171875,0.171875,0.203125,0.18359375,23f1002374,22f3000983,23f3001831,22f3002204,23f2005504,23ds3000049,23f2002904,21f3000628,23f1003099,23ds3000211
21f1006103,0.1171875,0.09375,0.109375,0.1015625,0.1015625,0.1015625,0.09375,0.09375,0.09375,0.09375,0.1171875,0.1,23f1000966,22f3000263,21f3002090,22f1001615,22f3000130,23f1000726,21f1000330,22f1001834,22f2001347,23f3001129
21f1006244,1.0,0.5390625,1.0,0.6796875,0.6796875,0.6796875,0.6796875,0.6484375,0.640625,0.6015625,1.0,0.71484375,23f2005597,22f3002743,23f1002480,23f3001345,23f2003894,22f1001602,22f2000445,22f3002336,22f2000517,21f1006373
21f1006373,0.6640625,0.1640625,0.65625,0.625,0.5390625,0.21875,0.203125,0.1875,0.1796875,0.171875,0.6640625,0.3609375,23f2003894,23f2002364,23f3001345,22f2000517,23f3003749,23f2001005,23f2004527,22f1000522,23f2005504,23ds3000089
21f1006403,0.265625,0.2578125,0.265625,0.265625,0.2578125,0.2578125,0.2578125,0.2578125,0.2578125,0.2578125,0.265625,0.26015625,22f3002811,23f3001129,24ds1000086,21f2000237,22f3000448,23f3004146,23f1000965,22f1001834,22f2001347,22f1001210
21f1006953,0.8828125,0.15625,0.171875,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.8828125,0.23046875,21f2000371,22f1001602,22f1000522,23f2005375,22f3001732,23f3001345,23f2001033,22f3000364,22f2000517,23f2003894
21f1006954,0.0625,0.0390625,0.0546875,0.046875,0.046875,0.046875,0.046875,0.046875,0.0390625,0.0390625,0.0625,0.046875,23f1002940,22f3000344,23f2004494,22f3002743,21f2000753,23f1001898,22f1000213,23f1000024,22f3002533,21f2001136
21f2000042,0.0703125,0.046875,0.0546875,0.0546875,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.0703125,0.05078125,23f3004035,24ds3000083,21f3000177,22f3001905,22f3002597,21f3002090,21f3003136,22f1000395,24f1002112,21f1004719
21f2000047,0.15625,0.1328125,0.1484375,0.140625,0.140625,0.140625,0.140625,0.1328125,0.1328125,0.1328125,0.15625,0.13984375,22f3000703,23f2001366,21f2001136,22f2001661,22f2000517,23f1001758,22f3001415,23f2002351,23f3001345,23f2001033
21f2000099,1.0,0.1015625,0.7265625,0.609375,0.125,0.109375,0.1015625,0.1015625,0.1015625,0.1015625,1.0,0.3078125,23f2001696,23f2001366,23f1002016,22f3001954,21f3002925,22f3000703,21f1006244,21f3003136,23ds1000121,21f1006373
21f2000168,0.15625,0.1015625,0.1484375,0.140625,0.140625,0.1171875,0.109375,0.109375,0.109375,0.1015625,0.15625,0.1234375,22f3001652,22f3000813,23f2004165,23f2000934,23f1001172,21f3001800,21f1004929,23f2003700,22f3001210,23f1001357
21f2000237,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,23f1000965,22f2000240,22f1001834,22f2001347,23f3001129,22f3000263,22f3001192,23f1002688,23f1003100,21f2000717
21f2000371,0.1640625,0.1484375,0.1640625,0.1640625,0.1640625,0.1640625,0.1640625,0.15625,0.15625,0.15625,0.1640625,0.16015625,23f3001345,23f3003749,22f2000517,23f2003894,22f1001602,22f1000522,22f2000445,22f3001732,23f2005597,23f1002480
21f2000372,0.1640625,0.1171875,0.1484375,0.1484375,0.1484375,0.1484375,0.140625,0.125,0.125,0.1171875,0.1640625,0.13828125,23f2005698,21f1001238,23f2000934,23f1000996,22f3000983,23f2003700,22f1000522,24f1001336,23f1003155,23f2003111
21f2000414,0.6796875,0.1171875,0.1484375,0.140625,0.125,0.125,0.125,0.1171875,0.1171875,0.1171875,0.6796875,0.18125,21f1002851,21f2000168,24ds2000136,23f2001030,21f3002276,22f2000545,22f3001415,24f1001336,22f3001119,22f3000983
21f2000507,1.0,0.9921875,1.0,1.0,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,1.0,0.99453125,22f3000797,23f3001129,23f2004225,22f3001738,22f3000448,23f3004146,23f1000965,22f1001834,22f2001347,22f1001210
21f2000522,1.0,0.171875,0.1875,0.1796875,0.1796875,0.1796875,0.1796875,0.171875,0.171875,0.171875,1.0,0.259375,23ds3000089,23f2001033,23f2004005,23f3003763,21f1002993,22f2001401,23f1000629,21f1006244,23f3001345,21f1006373
21f2000584,0.171875,0.1328125,0.1640625,0.1484375,0.1484375,0.1484375,0.140625,0.140625,0.1328125,0.1328125,0.171875,0.14609375,23f2004527,23f1000996,21f2000973,23f2001030,23f2001005,23f3002592,24ds2000136,22f3000983,23f1002374,23f2000934
21f2000608,0.5859375,0.1171875,0.1640625,0.140625,0.125,0.125,0.125,0.1171875,0.1171875,0.1171875,0.5859375,0.1734375,23f1002482,21f3000428,24ds2000136,23f3002347,22f1000619,22f3001028,23f2004005,21f2000372,23f2001908,23f2000934
21f2000639,0.40625,0.1328125,0.1875,0.1875,0.1796875,0.15625,0.15625,0.15625,0.15625,0.140625,0.40625,0.1859375,21f2001119,22f3002119,23ds3000136,22f1000493,22f3001415,22f1001595,22f1001615,22f3000745,23f1000726,23f2001030
21f2000717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22f1001834,22f1001105,22f2001347,23f3001129,22f3000263,22f3001192,23f1002688,23f1003100,23f1001901,22f3000695
21f2000753,0.296875,0.1640625,0.234375,0.2109375,0.1953125,0.1953125,0.1796875,0.171875,0.1640625,0.1640625,0.296875,0.19765625,23f2002904,23f2003700,23f2005698,23f1002374,21f1001238,22f3001210,23f2004165,21f1004929,23f1000996,22f3000983
21f2000852,1.0,0.203125,0.9609375,0.9609375,0.59375,0.3671875,0.203125,0.203125,0.203125,0.203125,1.0,0.48984375,23f2000961,22f3000703,22f3003086,23f2001421,21f3000201,23f2002936,21f1006244,23f3004372,23f2005597,23ds3000215
21f2000854,0.6796875,0.1953125,0.359375,0.359375,0.34375,0.2578125,0.203125,0.1953125,0.1953125,0.1953125,0.6796875,0.2984375,21f1004929,23f3002592,23f1000996,23f2003700,22f3000983,22f3002354,22f2001401,23f2002936,22f1001680,23f1001467
21f2000972,0.2265625,0.125,0.1640625,0.140625,0.1328125,0.1328125,0.1328125,0.125,0.125,0.125,0.2265625,0.14296875,22f1001786,23f2000934,22f3001485,23f2003916,23f1002620,23f2001908,22f1000025,23f3001345,23f2001033,22f3000364
21f2000973,0.1796875,0.140625,0.1640625,0.1640625,0.15625,0.15625,0.15625,0.15625,0.15625,0.1484375,0.1796875,0.1578125,23f2005021,24ds2000136,23f1002330,22f3001415,24f1001336,23f3003749,23f1002447,22f3001652,22f3001210,22f1000522
21f2001015,0.3046875,0.1484375,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.3046875,0.296875,0.3046875,0.28828125,21f1003062,23f3002347,22f3003227,22f3001318,21f3000700,21f1002570,22f3000612,23f1002973,22f2000625,23ds3000248
21f2001119,0.109375,0.0859375,0.109375,0.1015625,0.09375,0.09375,0.09375,0.09375,0.09375,0.0859375,0.109375,0.09609375,23ds3000136,23f1001990,22f1000493,24ds3000083,23f2001030,21f3002090,23f3002560,23f2003845,23ds3000089,24f1001336
21f2001136,0.1796875,0.1640625,0.1796875,0.1796875,0.1796875,0.1796875,0.171875,0.171875,0.171875,0.171875,0.1796875,0.175,23f3001345,23f2002904,23f2003894,22f1001602,22f2000445,22f1000493,22f2000517,22f1001432,21f3000045,23ds3000249
21f2001230,0.109375,0.09375,0.1015625,0.1015625,0.1015625,0.1015625,0.09375,0.09375,0.09375,0.09375,0.109375,0.0984375,23f1000774,23f2001366,23f1003099,23ds3000211,23f1003090,23f1003095,22f3001699,21f1006373,23f2001033,22f3000364
21f2001525,0.0859375,0.0703125,0.0859375,0.078125,0.078125,0.0703125,0.0703125,0.0703125,0.0703125,0.0703125,0.0859375,0.075,23f2004225,22f1000522,23f1001050,24f1001336,23f1003155,23f2004747,22f1000693,23f1001357,23f2002904,22f3000130
21f2001529,0.1171875,0.09375,0.109375,0.109375,0.109375,0.1015625,0.09375,0.09375,0.09375,0.09375,0.1171875,0.1015625,23f2002904,22f1001082,23f3001345,22f2000517,23f2003894,22f1000522,23f2000934,22f3001652,23f2005504,23f1002092
21f2001565,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,23f1000965,21f2000717,22f1001834,22f2001347,23f3001129,22f3000263,22f3001192,23f1002688,22f3002200,23f1003100
21f3000045,1.0,0.1328125,0.203125,0.171875,0.1640625,0.1640625,0.1484375,0.1484375,0.1484375,0.140625,1.0,0.2421875,22f1001432,23f2003111,23f1000113,23f2000934,23f2005504,22f1001445,22f1000522,22f3001953,23f1001467,23f2003662
21f3000051,0.9609375,0.078125,0.09375,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.9609375,0.16796875,22f3001421,23f2002904,22f3002293,21f3002268,23f2001030,22f3002811,23f1000774,24ds1000086,23f2000473,23f2000934
21f3000105,0.28125,0.25,0.265625,0.265625,0.265625,0.265625,0.2578125,0.2578125,0.2578125,0.2578125,0.28125,0.2625,22f3002336,22f3002743,23f3001345,23f2003894,22f1001602,22f2000445,21f1006244,22f2000517,23f2005597,23f1002480
21f3000133,0.09375,0.0625,0.0703125,0.0703125,0.0703125,0.0625,0.0625,0.0625,0.0625,0.0625,0.09375,0.06796875,23f2003916,24f1000142,23f2001496,22f3000626,23f2005698,22f2001631,23f3001831,23f1000996,22f3000983,23f2003700
21f3000177,0.125,0.1015625,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.109375,0.109375,0.125,0.11484375,23f2005021,21f1004929,23f2003111,21f1001238,23f2005504,22f1001432,21f3000045,23ds3000249,23f2005014,23f1000966
21f3000201,0.59375,0.15625,0.59375,0.4296875,0.1640625,0.1640625,0.1640625,0.15625,0.15625,0.15625,0.59375,0.2734375,22f3003086,23f2003894,23f2001421,23f2002936,23f2005597,22f3000703,23f1002480,23f3001345,21f1006373,22f3002336
21f3000243,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,22f1001834,23f1001901,22f2001347,23f3001129,22f3000263,22f3001192,23f1002688,23f1003100,21f2000717,22f2000240
21f3000279,0.1875,0.0625,0.1015625,0.0859375,0.0703125,0.0703125,0.0703125,0.0703125,0.0625,0.0625,0.1875,0.084375,21f1000303,23f2004527,24ds2000109,23f2005504,23f2002364,22f3001652,21f2000168,23f2003845,23f1002374,23f2004165
21f3000328,0.984375,0.4296875,0.6640625,0.6640625,0.6640625,0.6640625,0.65625,0.6484375,0.53125,0.515625,0.984375,0.6421875,23f3003749,22f3000703,23f3001345,23f2003894,22f1001602,22f2000445,22f2000517,22f3002336,21f1006373,23f1002687
21f3000401,0.0546875,0.0234375,0.0390625,0.0390625,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0546875,0.034375,22f3002113,23f1002254,21f2000372,24ds2000136,23f2001030,21f1002851,22f1000693,22f1001711,23f2003662,22f2000945
21f3000413,1.0,0.171875,1.0,1.0,1.0,0.203125,0.203125,0.203125,0.203125,0.203125,1.0,0.51875,21f3001858,21f2001136,22f1001432,21f3000045,23ds3000249,23f1002850,22f1000653,23f1002829,23f1000113,23f1001947
21f3000428,0.3671875,0.3203125,0.3203125,0.3203125,0.3203125,0.3203125,0.3203125,0.3203125,0.3203125,0.3203125,0.3671875,0.325,22f2000703,22f3003042,23f2003488,23f2004499,23f2004159,23f2000887,21f3000432,23f2000328,23f3001470,24f1001450
21f3000432,1.0,0.9609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9765625,1.0,0.99375,23f2003488,21f1000330,23f2004499,23f2004159,23f2000887,23f2000328,23f3001470,24f1001450,22f3003042,23f2005059
21f3000517,0.75,0.546875,0.75,0.75,0.625,0.6015625,0.578125,0.5546875,0.546875,0.546875,0.75,0.625,21f1006244,22f3000364,23f2005597,23f1002480,22ds3000122,23f2002351,23f3003763,22f3002336,23f3001345,23f2001033
21f3000585,1.0,0.0546875,1.0,1.0,1.0,1.0,0.953125,0.1953125,0.0625,0.0625,1.0,0.6328125,22f2001150,22f2000931,22f3003157,21f3000896,22f1001182,22f3003110,21f1000303,21f3000279,23f1000774,22f3001981
21f3000628,0.15625,0.1328125,0.1484375,0.1484375,0.1484375,0.140625,0.140625,0.140625,0.140625,0.140625,0.15625,0.14375,23f2001030,22f3001953,23f1002330,23f2001005,22f3001415,23f2003662,21f2000753,23f2005504,22f3000983,23f3002592
21f3000678,0.953125,0.203125,0.953125,0.3828125,0.3828125,0.3828125,0.203125,0.203125,0.203125,0.203125,0.953125,0.40703125,23f1002829,23ds3000249,23f1000113,23f1002850,22f1000653,23f1001947,21f3000413,21f3001858,22f1001432,21f3000045
21f3000700,1.0,0.125,1.0,1.0,1.0,1.0,0.9921875,0.8515625,0.1484375,0.125,1.0,0.72421875,21f1003062,22f2000902,22f3001318,21f1002570,23f1002973,22f2000625,22f3000612,23ds3000248,22f3003067,22f2000169
21f3000753,0.7421875,0.53125,0.6875,0.640625,0.640625,0.640625,0.640625,0.6171875,0.5625,0.53125,0.7421875,0.6234375,21f3000517,23f3001345,22f1001738,21f1006244,23f2005597,22f2001730,23f1002480,22ds3000122,23f3003763,23f2002351
21f3000773,0.1875,0.1484375,0.1640625,0.1640625,0.1640625,0.1640625,0.15625,0.15625,0.15625,0.1484375,0.1875,0.1609375,22f3001732,23f3001345,23f2001366,23f3003749,21f3000328,23f3000846,23f1000200,21f3002488,23f1000966,23f2001030
21f3000834,0.5625,0.1796875,0.5625,0.5390625,0.328125,0.3046875,0.296875,0.1875,0.1875,0.1875,0.5625,0.33359375,23f1000996,22f1001680,23f2003700,22f3000983,21f2000854,21f1004929,23f1000583,22f3002354,23ds3000136,22f1000493
21f3000896,1.0,0.0546875,1.0,1.0,1.0,0.953125,0.1953125,0.0625,0.0625,0.0546875,1.0,0.53828125,22f2001150,23f1002374,22f3003157,22f1001182,22f3003110,21f1000303,21f3000279,23f1000774,22f3001981,22f2000931
21f3001489,0.1171875,0.0859375,0.1015625,0.0859375,0.0859375,0.0859375,0.0859375,0.0859375,0.0859375,0.0859375,0.1171875,0.090625,23f1000356,22f3000966,23f2004112,21f3002090,23f3002560,24f1001336,23f2000934,23f3003711,22f2001166,22f3002174
21f3001496,0.78125,0.2890625,0.6953125,0.4140625,0.4140625,0.40625,0.375,0.328125,0.2890625,0.2890625,0.78125,0.428125,22f3001519,23f2003894,23f2001942,23f3003749,21f3000328,23f2001366,23f3000846,22f3002336,23f3001345,23f2001033
21f3001656,0.3125,0.28125,0.3125,0.3125,0.3125,0.3125,0.3046875,0.28125,0.28125,0.28125,0.3125,0.29921875,23f3001345,23f3000846,22f3002336,23f2003894,22f1001602,22f2000445,22f2000517,23f2001366,23f3003749,21f3000328
21f3001666,0.6015625,0.1484375,0.1640625,0.1640625,0.15625,0.15625,0.15625,0.15625,0.1484375,0.1484375,0.6015625,0.2,22f1000693,23f2005504,23f3003749,21f3000328,23f3001345,23f2003894,22f1001602,22f2000445,22f2000517,22f3002336
21f3001800,0.171875,0.0625,0.109375,0.09375,0.09375,0.0859375,0.078125,0.0703125,0.0625,0.0625,0.171875,0.0890625,23f2003700,22f3001421,23f2005504,21f1004929,23f2004527,23f2005698,23f2004625,22f3002354,23f1002374,22f1000693
21f3001858,1.0,0.171875,1.0,1.0,0.203125,0.203125,0.203125,0.203125,0.203125,0.171875,1.0,0.4359375,22f1001432,23f2000934,21f3000045,23ds3000249,23f1002850,22f1000653,23f1002829,23f1000113,23f1001947,21f2001136
21f3001902,1.0,0.9765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99765625,23f2003488,23f2005059,23f2004499,23f2004159,23f2000887,21f3000432,23f2000328,23f3001470,24f1001450,22f3003042
21f3001919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22f1001834,23f1001901,22f2001347,23f3001129,22f3000263,22f3001192,23f1002688,23f1003100,21f2000717,22f2000240
21f3001934,0.078125,0.0625,0.078125,0.078125,0.078125,0.0703125,0.0703125,0.0703125,0.0703125,0.0703125,0.078125,0.07265625,23f2004165,23f2001030,21f2000168,23f2001475,23f1001734,21f1004929,23f2001696,23f2004527,22f1001445,22f3001210
21f3002088,0.171875,0.1328125,0.1640625,0.1640625,0.1640625,0.1640625,0.1640625,0.1640625,0.15625,0.1328125,0.171875,0.1578125,22f2000517,22f3000703,23f3001345,23f3003749,23f2003894,22f1001602,22f2000445,21f3000328,22f3002336,21f1006373
21f3002090,0.234375,0.171875,0.2109375,0.1875,0.1875,0.171875,0.171875,0.171875,0.171875,0.171875,0.234375,0.18515625,23f2005504,23f2005698,23f1000966,22f1000522,23f3002592,23f3003749,22f2000517,23f2005021,22f3001953,21f3000328
21f3002125,0.1875,0.1328125,0.1796875,0.1640625,0.15625,0.15625,0.15625,0.1484375,0.140625,0.1328125,0.1875,0.15546875,23f3002592,23f2005021,23f2002904,21f1003657,23f2000934,22f3001028,23f2005504,21f1006031,23f2002351,21f2001136
21f3002143,0.1328125,0.1015625,0.125,0.1171875,0.1171875,0.109375,0.1015625,0.1015625,0.1015625,0.1015625,0.1328125,0.1109375,24ds2000136,22f1001432,21f2000584,22f1001680,23f1001467,21f2000753,21f1002851,23f1000996,21f3002276,22f3000983
21f3002257,0.1171875,0.0859375,0.109375,0.1015625,0.1015625,0.09375,0.09375,0.09375,0.09375,0.09375,0.1171875,0.0984375,21f3001800,23f2001030,21f1004929,21f2000168,23f1001050,23f1002254,23f1000996,22f1000693,22f3001119,23f2003700
21f3002268,0.15625,0.1328125,0.15625,0.15625,0.140625,0.1328125,0.1328125,0.1328125,0.1328125,0.1328125,0.15625,0.140625,23f2004165,23f1000113,23ds3000136,22f1000493,23f1000966,22f3000087,23f2002364,22f1001680,23f1002829,23f2002904
21f3002276,0.7421875,0.140625,0.2421875,0.1640625,0.15625,0.1484375,0.1484375,0.1484375,0.1484375,0.1484375,0.7421875,0.21875,22f2000545,22f3002336,23f1001172,23f2005504,21f3002090,23f3001345,22f2000517,23f2003894,22f1001602,22f2000445
21f3002290,0.984375,0.1484375,0.1875,0.1640625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.984375,0.2421875,22f3001119,23f1001316,23f1000966,21f1000601,22f1001595,22f1001615,22f3000745,22f3000966,23f1000726,22f3001566
21f3002322,1.0,0.1328125,0.9453125,0.6015625,0.1640625,0.15625,0.140625,0.140625,0.1328125,0.1328125,1.0,0.3546875,22f1000693,23f2005698,23f2004152,21f3001666,21f3002488,23ds3000066,23ds3000136,22f1000493,23f1000200,21f1006031
21f3002425,0.125,0.09375,0.109375,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.09375,0.09375,0.125,0.10234375,23f2002904,23f2004527,23f2000934,23f2003111,23f2005504,22f3000983,22f1001445,23f1001734,24ds2000136,23f2002364
21f3002488,0.453125,0.421875,0.453125,0.453125,0.453125,0.453125,0.4453125,0.4296875,0.4296875,0.4296875,0.453125,0.4421875,23f3001345,22f2000517,23f2001033,23f2003894,22f1001602,22f2000445,23f3003763,23f2001366,23f3003749,21f3000328
21f3002579,0.171875,0.1328125,0.140625,0.140625,0.140625,0.1328125,0.1328125,0.1328125,0.1328125,0.1328125,0.171875,0.1390625,22f3003067,22f2000481,23f2004165,21f3002488,23f1000966,22f2000169,24f1001336,23f2000934,22f2000902,23f3003721
21f3002711,0.984375,0.4375,0.984375,0.984375,0.96875,0.96875,0.609375,0.484375,0.484375,0.484375,0.984375,0.7390625,23f2004328,23f1001293,23f1001909,22f3003253,23f1002044,22f3001412,23f1001173,23ds1000121,23f1002687,23f1001473
